Seq;Power W;BatBMS V;BatCHG V;GRID V;GRID A;BatPers %;BatCur A;CHG AH;DIS AH;Pv AH;Site AH
9332; 587;55.20;53.39;236.70;0.00;   76;-0.55;  0.96;14.39;41.72;2624.45
9342; 586;55.20;53.39;236.80;0.00;   76;-0.57;  0.96;14.39;41.72;2624.45
9352; 586;55.20;53.39;237.00;0.00;   76;-0.56;  0.96;14.39;41.72;2624.45
9362; 588;53.69;53.39;237.50;0.00;   76;-0.57;  0.97;14.39;41.75;2634.21
9372; 587;53.69;53.39;236.50;0.00;   76;-0.57;  0.97;14.39;41.75;2634.21
9382; 586;53.69;53.39;237.60;0.00;   76;-0.57;  0.97;14.39;41.75;2634.21
9392; 584;55.20;53.39;236.80;0.00;   76;-0.57;  0.97;14.39;41.75;2634.21
9402; 581;53.69;53.39;236.70;0.00;   76;-0.58;  0.97;14.39;41.75;2634.21
9412; 582;53.69;53.39;236.40;0.00;   76;-0.56;  0.97;14.39;41.75;2634.21
9422; 541;55.20;53.39;236.80;0.00;   76;-0.57;  0.98;14.39;41.78;2643.96
9432; 558;53.69;53.39;236.70;0.00;   76;-0.58;  0.98;14.39;41.78;2643.96
9442; 583;55.20;53.39;236.70;0.00;   76;-0.58;  0.98;14.39;41.78;2643.96
9452; 584;55.20;53.39;235.90;0.00;   76;-0.55;  0.98;14.39;41.78;2643.96
9462; 582;55.20;53.39;236.40;0.00;   76;-0.57;  0.98;14.39;41.78;2643.96
9472; 582;55.20;53.39;236.70;0.00;   76;-0.55;  0.98;14.39;41.78;2643.96
9482; 582;55.20;53.39;237.10;0.00;   76;-0.56;  0.99;14.39;41.82;2653.51
9492; 580;53.69;53.39;236.80;0.00;   76;-0.56;  0.99;14.39;41.82;2653.51
9502; 566;53.69;53.39;236.80;0.00;   76;-0.56;  0.99;14.39;41.82;2653.51
9512; 565;53.69;53.39;237.20;0.00;   76;-0.56;  0.99;14.39;41.82;2653.51
9522; 568;53.69;53.39;237.10;0.00;   76;-0.55;  0.99;14.39;41.82;2653.51
9532; 566;53.69;53.39;237.00;0.00;   76;-0.56;  0.99;14.39;41.82;2653.51
9542; 571;55.20;53.39;237.10;0.00;   76;-0.56;  1.00;14.39;41.85;2663.05
9552; 2140;53.69;53.39;235.10;0.00;   76;-0.56;  1.00;14.39;41.85;2663.05
9562; 2126;55.20;53.39;234.80;0.00;   76;-0.57;  1.00;14.39;41.85;2663.05
9572; 2122;55.20;53.39;235.10;0.00;   76;-0.56;  1.00;14.39;41.85;2663.05
9582; 2127;53.69;53.39;235.10;0.00;   76;-0.56;  1.00;14.39;41.85;2663.05
9592; 2131;55.20;53.39;235.20;0.00;   76;-0.55;  1.00;14.39;41.85;2663.05
9602; 2127;55.20;53.39;234.50;0.00;   76;-0.55;  1.01;14.39;41.88;2693.97
9612; 2106;53.69;53.39;234.80;0.00;   76;-0.57;  1.01;14.39;41.88;2693.97
9622; 2121;55.20;53.39;235.70;0.00;   76;-0.57;  1.01;14.39;41.88;2693.97
